titulo,transcripcion
Cómo registrar el consumo de artículos?,"cuando la empresa utiliza artículos para
consumo propio lo que hay que hacer es
darlo de baja del stock
a través de un movimiento interno que
está acá en el menú de movimientos
consumo
esto
nos lleva a un número correlativo
generalmente si uno no hace tan seguido
si no hace todos los días réditos de
consumo puede usar la fecha por ejemplo

vamos a ponerle esta fecha

hay dos maneras de hacer esto una vez
que cada remito de consumo genere un
asiento contable que requiere de toda
una configuración previa de cuentas
contables y demás y la otra es
directamente hacer el movimiento de
stock para bajar del stock esta
mercadería y a fin de año oa fin de
ejercicio hacer
un asiento general de todos los
movimientos de consumo que hubo en el
principio cuando se comienza a usar el
sistema nosotros recomendamos que hagan
esta última opción de hacer el el
asiento manualmente al final para no
tener que tener que configurar todo
ahora que es por ahí es una cosa más que
agregar de todo lo que hay que
configurar así que vamos a ver la manera
más sencilla que es poner el número del
movimiento en la parte de abajo acá en
el selector vamos a buscar cuál es el
artículo que vamos a dar de baja del
stock cuál es el artículo que estamos
consumiendo la cantidad
si queremos ser le podemos poner un
precio no es obligatorio pero se le
puede poner se sube a la grilla con este
botoncito nos posicionamos en el segundo
renglón
si tuviéramos que seleccionar otro
ponemos la cantidad ponemos el precio lo
subimos con el botón amarillo y
agregamos dejamos grabado el movimiento
ni siquiera lo imprimimos si lo queremos
imprimir no ponemos número al comienzo y
se va habilitar el botón imprimir esto
lo que hace es restar del stock estos
artículos si yo lo quiero verificar voy
a en existencia es mayor de un artículo

vamos a buscar por ejemplo uno de los
que usamos
y aparece bueno que aparece en otros
movimientos anteriores pero con esta
fecha tenemos el movimiento interno
donde hay 200 unidades de salida y me
marca cuál es el saldo que me quedó
después lo que hago es cuando quiero
hacer el asiento de consumo listo en un
informe todos los movimientos de consumo
y ahí voy a ver todos los artículos y
tengo la valorización de ese momento o
la que le quiera poner en el momento de
hacer el asiento y listo y hago el
asiento manualmente"
Cómo ajustar stock con Diferencia en mas y en menos?,"vamos a ver cómo hacer un ajuste del
stock
para eso tenemos dos movimientos
específicos
si entramos en movimientos diferencias
más y diferencia en menos estos dos
movimientos son movimientos
independientes que no corresponden no
están asociados a ningún otro movimiento
si son ajustes porque si yo necesito
sumar o restar en el stop cantidad de
artículos lo voy a hacer por este punto
no son movimientos que se usan muy
habitualmente se supone que siempre que
yo hago un movimiento sumo restos
artículos de mi stock tienen un porqué
están asociados a un movimiento
comercial o de consumo pero
en este caso van a ser los casos que no
estén asociados a nada
son iguales en diferencia es más su mal
stock y el diferencia es menos resta
vamos a entrar a diferencia más
fíjense que no está la flechita azul que
me indica cuál es el número que sigue
osea que el número que yo le voy a poner
a este movimiento
o me acuerdo cuál fue el último lo tengo
anotado que no tiene mucho sentido
porque como dijimos es un movimiento que
se hace muy de vez en cuando o lo que
recomendamos que es piola para el uso es
poner la fecha que incluso me sirve para
tener una referencia
si yo dice por ejemplo el movimiento del
primero de diciembre del 2016 es el
número que le voy a poner al movimiento
todos los demás campos que están acá
arriba los voy a pasar de largo y me voy
a ir directamente al renglón de la
grilla donde voy a poner el artículo que
estoy ajustando si en este caso como
estoy haciendo una diferencia es más voy
a sumar al stoke por ejemplo el 24 d
yo controlo el inventario y resulta que
me encuentro que tengo 2 litros más de
lo que figura en el sistema
si yo rastreo esa diferencia y encuentro
cuál es el motivo lo hago por el
movimiento que corresponde pero si no
hay manera no tengo manera de rastrear
esa diferencia lo hago por acá vamos a
poner en descripción ajuste de
inventario o alguna referencia que a
ustedes les haga acordar por qué
hicieron este ajuste y vamos a agregar
dos unidades
el precio importe todo eso no lo vamos a
completar porque solamente estamos
ajustando el stock y para subirlo a la
grilla como en todos los remitos vamos a
utilizar el botoncito de la carpeta
amarilla si yo tuviera que agregar algún
otro artículo lo puedo hacer en este
mismo movimiento me paro en el segundo
renglón coloco otro artículo
de este voy a agregar uno y los hubo con
el botoncito amarillo
a este por ejemplo al agro pero no le
puse comentario no le puse descripción
si se lo quiero agregar me paro sobre el
renglón lo agrego agregó el comentario
que necesite y voy a modificar el
renglón con este botón del lápiz hito si
ya lo voy a agregar un renglón nuevo voy
a modificar el que ya existe si se va a
agregar la descripción un excel

bueno sí ya terminé de hacer todos los
agregados que necesito a mi stock
directamente puedo tocar el botón
agregar y grabó el movimiento si en
lugar de sólo grabarlos quisiera
imprimirlo porque quiero tener una
constancia de esto
y empresa no le pongo número en el
casillero los dos con cero y se va a
habilitar el botón imprimir esto es ley
para todo el sistema funciona igual si
el formulario al comienzo no tiene
números se habilita el botón imprimir si
en cambio yo ya le puse un número
solamente se va a habilitar el botón
agregar
lo agregamos
y ahora si yo fuera a ver mi esto por
sistema va a coincidir con el que tengo
en el depósito porque ya hice las
modificaciones que necesitaba lo mismo
pasa con movimientos diferencias - es
exactamente lo mismo pero a la inversa
yo voy a ponerle un número
el mismo porque es otro movimiento me va
a dejar
y vamos a decir que de afrechillo por
ejemplo
tengo ese el el inventario tengo uno
uno de más uno de menos perdón entonces
lo que hago es poner diferencia menos me
va a restar esto me va a restar uno del
stock no lo pongo el negativo lo pongo
en positivo porque estoy haciendo otro
movimiento en el movimiento diferencia
es menos yo acá pongo la cantidad que
quiero restar del stop si yo pongo uno
en el sistema había 100 ahora va a ver
99 sí
subo con el botoncito amarillo si
quisiera agregar otro me paro en el
siguiente renglón busco de la lista de
artículos
colocó el artículo que quiero ajustar y
en este caso tengo que restar 2
los hubo con el botoncito amarillo
y lo agrego
entonces con diferencia más voy a sumar
al stoke con diferencia en menos lo voy
a restar"
Cómo dar de alta un Lugar de recepción?,"en el punto listas lugares de recepción
lo que vamos a aceptar son los depósitos
de las cuentas corrientes sean
proveedores o sean clientes en el caso
de los proveedores va a ser el origen
los remitos de regreso y en el caso de
los clientes va a ser el domicilio al
que va se va a hacer el envío o el que
va a quedar registrado en el rédito
para dar de alta a un depósito lo que
hacemos es seleccionar la cuenta
corriente
en descripción colocar el nombre que le
vamos a dar al depósito o al lugar de
recepción
completamos el domicilio los datos
obligatorios son los que están en salmón
como siempre el resto completamos con
los datos que correspondan y en el caso
de que esta cuenta corriente sea un
proveedor tenemos la posibilidad de
ingresar los datos para la trazabilidad
fitosanitaria de senasa que son el
código genere del depósito y el formato
de remito
esto estos datos son necesarios para
confirmar la recepción de los artículos
en la página de senasa vía web service
por sistema
y por último tenemos este cuadrito en el
costado que sirve para poder poner una
imagen que agregue información para
poder encontrar el lugar muchas veces
pasa que estos depósitos están en
direcciones que no son muy específicas
entonces se puede agregar una imagen si
yo tengo la imagen guardada en mi
máquina con esta carpeta
puedo buscar el archivo

y luego lo dejo acá como dato accesorio
para poder imprimirlo si lo necesito y
dárselo a la persona que va a hacer el
envío
por último una vez que completamos todos
los datos tocamos el botón agregar
lo mismo si tuviéramos que modificar
algunos que ya existe los seleccionamos
y tocamos el botón modificar"
Cómo dar de alta un perfil impositivo?,"dentro de las listas de artículos
también encontramos este punto perfiles
dispositivos que lo que nos permite es
dar de alta un perfil con cierta
aplicación de impuestos para poder usar
después para configurar los impuestos de
varios artículos al mismo tiempo
esto generalmente se hace al comienzo
cuando tenemos que configurar los
impuestos los impuestos y de todos los
artículos para no ir uno por uno
lo que se hace es una de las opciones es
dar de alta un perfil y después aplicar
ese perfil a todos los artículos o
rubros que tengamos seleccionados eso lo
vamos a ver después en la aplicación de
impuestos pero vamos a ver cómo se da de
alta a un perfil
si yo quiero dar de alta el perfil por
ejemplo de fertilizantes vamos a ver de
alto uno que no esté por ejemplo
inoculantes
voy a decirle al sistema cuáles son los
impuestos que van a gravar todos los
inoculantes
grabado tasa general

le vamos a poner
esto es justamente lo vamos a usar eso
perfil positivo para inauguran test para
operaciones normales
vamos a ponerle el grabado al 21% y por
ejemplo la percepción de ingresos brutos
de la provincia de buenos aires le
dejamos hacer ilícito vamos a verificar
que no haya ningún otro
bien una vez que puse los tildes que
quiero que tenga este perfil lo voy a
agregar
de esta manera solamente salí de alta el
perfil después vamos a ver en otro punto
para que lo utilizamos pero esta es la
manera si yo quisiera por ejemplo
modificar alguno que ya existe por
ejemplo el perfil semillas tiene un iva
del 21 por ciento y yo quiero que tenga
un nivel 10 y medio le saco el del 21 y
tildó el del 10 y medio y lo modificó"
Cómo aplicar un perfil impositivo a un rubro de artículos?,"para aplicar impuestos a los artículos
vamos a traer a listas artículos
aplicación de impuestos este punto se
utiliza para hacer una aplicación masiva
de impuestos generalmente
y lo hacemos seleccionando algunos de
los rubros por ejemplo fertilizantes
determinamos cuál es el destino
impositivo que vamos a configurar
y si tenemos algún perfil impositivo que
concuerde con los impuestos que le
tenemos que poner a este rubro lo
podemos seleccionar en este caso hay un
perfil impositivo fertilizantes
vamos a poner buscar para ver qué
impuestos tiene actualmente este rubro
para no ver toda la grilla de impuestos
que es extensa y que no me resulta muy
cómodo puedo poner este tilde de ver
solo lo que está marcado
y acá lo que veo es que los
fertilizantes tienen un grabado del 10 y
medio en la tasa reducida bienes y
tienen la percepción canje y una
percepción de la provincia de buenos
aires- de ingresos brutos este son estos
son los impuestos que incluye el perfil
fertilizantes si está bien si es lo que
quiero lo que voy a hacer es tocar el
botón aplicar
para aplicar estos impuestos
y por último grabar
de esta manera y asignamos impuestos
aplicando un perfil"
Cómo configurar los impuestos de los artículos?,"para aplicar impuestos a los artículos
vamos a ir al punto listas artículos
aplicación de impuestos
este punto se utiliza para hacer una
aplicación masiva por rubros así que lo
que vamos a hacer es seleccionar primero
el rubro
por ejemplo homicidas vamos a indicar
cuál es el destino comercial y en este
caso no vamos a seleccionar ningún
perfil vamos a buscar para ver qué
impuestos tiene configurado hoy este
rubro
si me resulta más fácil puedo
seleccionar solamente que me muestre las
columnas marcadas

y en todos tienen lo mismo y vamos a
hacer una modificación por ejemplo vamos
a sacar la percepción de ingresos brutos
si esto no correspondiera
lo que tenemos que hacer es destilar lo

tenemos que ir hasta el final

y por último lo que vamos a hacer es
tocar el botón grabar directamente no
vamos a tocar el botón aplicar porque no
tenemos seleccionado ningún perfil
solamente vamos a tocar el botón grabar
ahora si volvemos a buscar
en que la columna de la percepción
desapareció"
Cómo configurar las cuentas contables de los artículos?,"para asignar cuentas contables artículos
si bien lo podemos hacer por cada uno en
listas de artículos tenemos un punto que
es aplicación de cuentas contables desde
acá lo que podemos hacer es aplicar una
cuenta contable a todo un rubro vamos a
hacer una prueba
por ejemplo el rubro fertilizantes
para la modalidad normal
si pongo a buscar
me aparece cada renglón uno de los
artículos que forman rubros
fertilizantes y tengo una columna que me
muestra la modalidad que es la que le
indique una columna para la cuenta
contable de compras y otra columna para
la cuenta contable de ventas
por ejemplo aparece la cuenta de
herbicidas como si hubiera sido un error
al configurar lo inicialmente entonces
lo que vamos a hacer es seleccionar
todos los renglones lusos del rubro
también
lo pintamos hasta el final para pintar
lo arrastramos con el mouse si
quisiéramos seleccionar renglones
aislados con la tecla control podemos ir
pintando salteados vamos a seleccionar
todos
y una vez que seleccionamos vamos a
indicar el cambio vamos a poner una
cuenta contable para compras
vamos a buscar compras fertilizantes
y una cuenta contable para ventas

ventas fertilizantes una vez que pusimos
las cuentas contables a las que queremos
mandar estos artículos tenemos que tocar
el botón asignar y luego el botón grabar

ahora si yo vuelvo a buscar
fertilizantes para modalidad normal
están cambiados todos"
Cómo registrar una factura de compra?,"cuando el proveedor nos manda la factura
lo que hacemos es registrarla por el
punto compras factura
recuerden que las facturas siempre se
tienen que aplicar sobre el pedido se va
a registrar sobre el pedido de compra lo
que hacemos es completar el campo de
número con el número que tiene la
factura que tenemos en la mano y en la
solapa general completar el casillero de
la cuenta con el del proveedor para que
el sistema busque cuáles son los pedidos
pendientes de facturar que tiene con
esta cuenta vamos a establecer la
modalidad y que está hecha la factura si
es normal cuenta de orden pago en
especies y el esquema impositivo cuando
nosotros configuramos los artículos lo
hacemos en base a estos esquemas
impositivos mercado interna exportación
canje sin iva
y también tenemos que decirle el sistema
en qué moneda está hecha las facturas y
nosotros seleccionamos pesos
se grita el campo de cotización y si
seleccionamos dólar nos pide que
pongamos en qué cotización está hecha la
factura
luego vamos a pasar a la solapa búsqueda
y vamos a seleccionar el pedido sobre el
que vamos a registrar esta factura en
este caso vamos a tomar el último
vamos a pasar directamente a la solapa
detalle y esto es igual que en el remito
y en el remito si de compra si nosotros
en el pedido teníamos 200 unidades y nos
están facturando el total podemos tocar
la flecha doble que está entre las dos
columnas y se completa la columna
facturar con el total de la cantidad
pedida si en cambio tuviéramos que
incluir menos cantidad porque nos
facturaron menos de la cantidad total
que figura en el pedido lo ponemos acá
abajo
ponemos el precio
y lo subimos con este botón del lápiz
hito una vez que la grilla está completa
con la cantidad y el precio pasamos a la
solapa impuestos donde vamos a verificar
que realmente los impuestos que están
configurados en el sistema son los
correctos y coinciden con el total de la
factura que tenemos en la mano para
formar esta grilla de impuestos el
sistema va a mirar los impuestos que
tienen configurados los artículos para
el esquema impositivo que nosotros le
mostramos en la solapa general y los
impuestos de la cuenta corriente que
emite el comprobante y nuestros
impuestos que somos los que estamos
recibiendo
la factura si los impuestos están
correctos y el total de la factura
coincide con lo que tenemos en la mano
podemos agregar un vencimiento distinto
si quisiéramos tocando este botoncito y
por último vamos a tocar el botón
agregar
las preguntas si queremos imprimir un
comprobante interno
esto lo hacen algunas empresas para
llevar un control en la administración
le vamos a poner que no
y ya está grabado la factura"
Cómo generar un remito por devolución?,"cuando tenemos que hacer una devolución
de mercadería que nos envió que nos
remitió un proveedor y todavía no está
facturado usamos el punto compras
devolución
el casillero del número queda en blanco
y lo que hacemos es buscar en la solapa
general la cuenta corriente de mi
proveedor
y en la solapa pedidos seleccionamos
sobre qué pedido vamos a hacer la
devolución en este caso yo estoy
seleccionando uno que tiene asociado un
remito esto es el remito que el
proveedor me mandó a mí de 20 unidades
en la solapa detalle voy a indicar de
estas 20 unidades que yo recibí cuántas
voy a devolver en este caso vamos a
poner que devolvemos 10
y directamente imprimimos el granito
esto lo que genera es un remito
que va a bajar esta mercadería de mi
stock y se la va a enviar al proveedor

le pregunta si deseo solicitar que en
este caso le vamos a poner que no y por
último me pregunta si reduce el pedido
de compra si yo le pongo que no el
sistema va a estar esperando que el
proveedor me vuelva a remitir estas diez
unidades si le pongo que si directamente
ya no quedan pendientes
se confirma que el pedido fue reducido y
ya está hecha la devolución"
Cómo registrar una nota de crédito por devolución?,"cuando tenemos que devolver artículos
que ya fueron facturados lo que tenemos
que hacer es registrar en compras notas
de crédito por devolución la nota de
crédito que nos envía el proveedor y en
el mismo movimiento se hace la
devolución y la reducción del pedido si
hace falta lo que vamos a hacer es
registrar esta nota de crédito

ponemos el número y en la solapa general
buscamos el nombre del proveedor

después en la solapa búsqueda tenemos
que seleccionar cuál es la factura que
nos están acreditando
y directamente en la solapa detalle
vamos a completar cuál es la cantidad de
los artículos que nos están acreditando
en este caso la factura había sido por
10
vamos a acreditar el total de la factura
el precio es el mismo
lo subimos con el botoncito amarillo y
en la solapa impuestos verificamos que
el importe de la nota de crédito sea
igual al que estamos registrando que
tenemos en la mano
tocamos el botón agregar para grabar el
comprobante este cartel nos aparece
porque no tenemos puesto el parámetro de
factura electrónico vamos a continuar
igual
no vamos a imprimir el comprobante
interno y el sistema me dice el remito
se realizará por el mismo valor que la
nota de crédito realiza el ramito de
devolución si yo estoy devolviendo estos
artículos le pongo que si si no los voy
a devolver y solamente me acreditan el
dinero para volver a facturar me lo le
pongo que no vamos a poner que sí
va a generar un remito de devolución

esto da de baja del stock

estos artículos
y por último me pregunta si reduce el
pedido si estos artículos que yo estoy
devolviendo no las voy a querer más
puedo reducir el pedido para que no
queden pendientes ni es facturar ni de
remitir si si los voy a querer y más
adelante el proveedor no los va a mandar
no reduzco el pedido vamos a ponerle que
sí
y ya está terminado todo el proceso de
esta manera hicimos la acreditación del
dinero en la cuenta corriente
reducimos el pedido y devolvimos la
mercadería y entonces la bajamos del
stop"
Cómo consultar el proceso de compra?,"el punto compras consulta de pedidos
sirve para hacer consultas de las
operaciones de compra que estén en
proceso que ya están terminadas pero nos
brinda una información integral de todo
el proceso de la operación en la
búsqueda podemos filtrar por cuenta por
artículo por modalidad del pedido por el
estado si está pendiente de remitir si
tiene saldo a facturar o todos los
estados por unidad de negocios o por
campaña vamos a poner todas vamos a
filtrar solamente la cuenta del
proveedor que quiero ver y vamos a tocar
buscar en este caso este proveedor en la
solapa pedidos tiene dos nada más vamos
a seleccionar uno y vamos a ver la
información que trae nos trae en la
grilla de abajo los artículos que
contiene el pedido la cantidad pedida la
cantidad remitida y la cantidad
facturada en este caso este pedido tiene
no tiene cargado precio pero si no
también nos aparecería el precio y el
importe en la información
si seleccionamos el pedido y vamos a la
solapa remitos vamos a ver los remitos
que estén asociados con ese pedido
y vemos lo mismo seleccionamos en este
caso hay uno solo pero si tuviéramos
varios podemos seleccionar el pedido y
enladrillada abajo se ve la información
del remito y lo mismo con las facturas
seleccionamos la factura y debajo vemos
toda la información de esa factura
en el caso de los pedidos
tenemos la posibilidad de hacer vista
previa del formulario del pedido si bien
esto no se imprime existe un formulario
para imprimirlo desde acá si fuera
necesario
ese es el pedido de compra"
Cómo hacer una Liquidación por Cuenta y Orden?,"vamos a hacer una liquidación por cuenta
y orden vamos a entrar a compras
liquidación por cuenta y orden para
poder hacer la liquidación el sistema lo
que necesita es que estén cargados los
pedidos de compra con el proveedor con
modalidad cuenta y orden y que tengamos
alguna factura de venta que haya sido
realizada por cuenta y orden de ese
proveedor
vamos a dejar el casillero de número que
es el primero en blanco lo vamos a pasar
porque este número se va a asignar lo va
asignar el sistema cuando toquemos el
botón imprimir y después lo que tenemos
que hacer es filtrar qué es lo que
queremos que nos traiga en esta primera
solapa que es la de pedidos de compra
vamos a seleccionar la cuenta del
proveedor podemos seleccionar un
artículo para que nos traiga todos los
pedidos y no solamente los de ese
artículo o podemos dejar todos
vamos a seleccionar en qué moneda vamos
a emitir la liquidación
si queremos podemos poner este tilde
para que solamente nos traiga los
pedidos que están hechos era esta moneda
en la cotización en caso de que emitiera
mos la liquidación de dólares tiene
sentido en este caso no por eso se grita
y este tiles para que si yo selecciono
que voy a emitir la liquidación en
dólares la voy a grabar en dólares tengo
la opción de imprimir las pesos
pero vamos a poner el selector en pesos
y vamos a poder buscar
vamos a achicar un poco la búsqueda para
que sea más simple vamos a poner que me
traiga los pedidos que se emitieron
desde el 20 de diciembre 23 -
bueno tenemos dos pedidos el que termina
en 836 y el que termina en 837 nos trae
un reglón por cada artículo para que yo
pueda elegir qué es lo que quiero
incluir en esta liquidación en este caso
por ejemplo vamos a seleccionar el 24 de
que está en el pedido que determine en
836 y en ese pedido hay una cantidad
total de quinientas unidades pero yo en
esta liquidación quiero incluir
solamente 100 entonces en la columna
cantidad voy a escribir la cantidad que
quiero liquidar me van a quedar
pendientes los 400 restantes una vez que
complete todo esto en esta primera
solapa me voy a la solapa facturas de
venta y acá van a aparecer obviamente
todas las facturas que yo le hice a mis
clientes por cuenta y orden de este
proveedor
porque aparecen esas seleccionadas
porque yo indique que quiero liquidar
100 entonces independientemente de la
cantidad que yo haya vendido que hayan
facturado en esta liquidación para la
compra voy a incluir solamente 100 son
50 de la primera y en la segunda factura
era de más pero me incluyo solamente 50
para llegar hasta los 100
acá entonces en las columnas tengo el
precio de venta la cantidad que estoy
incluyendo el importe de la factura de
venta el precio de costo el importe del
costo y en el valle se calcula cuál es
la diferencia que va a ser mi comisión
hasta el número de pedido
entonces una vez que seleccione las
facturas que yo quiero
y acá podría de seleccionar esta y
seleccionar la siguiente se puede elegir
qué facturas quiero incluir
una vez que seleccione todo lo que
quiero toco el botón calcula totales y
el sistema va a calcular en esta grilla
los impuestos que gravan esa comisión en
este caso está configurado que calculé
un iva del 21 y una percepción de
ingresos brutos de 0,3
una vez que terminamos
que ya revisamos que esté todo bien que
verificamos que los impuestos son los
que necesitamos
vamos a poder imprimir
y el número que nos va a traer es el
siguiente que corresponda de acuerdo a
la última que emitimos por eso habíamos
dicho que el casillero de número al
principio lo dejábamos en blanco
y eso es todo ahora si nosotros
volviéramos a buscar
pero vamos a cancelar si nosotros
volviéramos a buscar ya este pedido en
lugar de traer 500 pendientes traería
400
y otra cosa que podemos hacer es si hay
algún pedido que no vamos a incluir por
ejemplo esto yo no lo voy a liquidar
nunca por algún motivo x lo borro del
pendiente eliminas facturas marcadas
como pendiente de liquidar si si las
eliminar no podrá volver a liquidar las
confirma si
se quedan pendientes para liquidar"
Cómo cargar un pedido de compra?,"vamos a ver cómo es el proceso para
cargar un pedido de compra el pedido es
el comienzo de toda la operación hoy tal
vez cuando se hace un pedido de compra
se llama por teléfono al proveedor o se
le envía un mail eso se puede seguir
haciendo pero este sistema requiere que
ese pedido esté cargado en el sistema
entonces para cargarlo vamos a ir a
compras
pedido
y acá vamos a pasar que nos vamos a
encontrar con muchos casilleros pero el
único obligatorio en esta instancia
cuando estoy cargando el pedido es la
cuenta corriente y no vale la pena
detenerme en completar todos los demás
porque todo eso que yo completé puede ir
variando más adelante capaz que cuando
el proveedor me manda la mercadería me
lo manda desde otro lugar y finalmente
cuando yo
cuando mi proveedor me factura esto
me lo factura en pesos dónde las
facturas en dólares o sea nos vamos a
concentrar en los campos que sí o sí son
obligatorios en el pedido
vamos a ponerle un número le vamos a
asignar el número con la flechita azul y
el sistema solito me va a decir que el
número me toca porque esto eso no lo voy
a imprimir eso es un comprobante interno
para mí y lo que sí voy a completar es
la cuenta corriente de mi proveedor

de esta solapa no vamos a completar nada
más vamos a chusmear solamente que tengo
un selector de facturación donde yo voy
a dejar establecido si es facturación
normal o sea compraventa normal o es una
operación que son artículos que yo estoy
pidiendo para vender por cuenta y orden
o finalmente lo voy a facturar como pago
en especies pero por el momento lo vamos
a dejar como normal
directamente ya pasamos a la siguiente
solapa que es la solapa de detalle donde
voy a aclarar voy a detallar cuáles son
los artículos que le estoy pidiendo al
proveedor vamos a seleccionar cualquiera
y vamos a poner cualquier cantidad no
importa
entonces fíjense lo que pasó yo busqué
en este selector
el artículo si quiero pongo algún
comentario
establezco la cantidad y el precio no es
obligatorio que lo ponga ahora tal vez
ni siquiera lo sepa y voy a subir todo
esto que agregué en esta en estos
electores a la grilla con este botón
amarillo yo toco este botoncito amarillo
de lo que escribí acá abajo pasa a la
grilla de arriba vamos a buscar otro
artículo más
y lo subimos con el botoncito acá yo voy
a detallar todas las cosas que le pedí a
mi proveedor y una vez que termine de
completar esto en el pedido no nos vamos
a complicar lo vamos a agregar con este
botón
yo ya tengo grabado el pedido de compra
con esta cuenta corriente
si lo quiero ver tengo la posibilidad de
ir a compras consultas de pedidos
donde voy a ver todo el recorrido de
este negocio todos los pasos que fui
haciendo si la compra a mi proveedor
siempre estamos del lado de compras
vamos a buscar la cuenta corriente que
usamos recién
vamos a completar solo la cuenta no
vamos a buscar un artículo en particular
ni una modalidad buscamos y acá está el
pedido que cargamos recién hay otros
pedidos anteriores el que yo seleccione
me va a mostrar la información acá abajo
por ahora en la consulta lo único que
voy a ver es el pedido con la
información"
Cómo registrar un remito de compra?,"ahora vamos a registrar el remito de
compra cuando mi proveedor finalmente me
manda los artículos que yo le pedí voy a
entrar a compras remito y voy a
registrar el ingreso al stock no voy a
poder registrar el remito si no tengo
cargado el pedido
ahora vamos a ver cómo es el proceso acá
si al comenzar vamos a poner un número
que es el número del formulario que
tengo en la mano lo voy a registrar con
el mismo número que tiene solamente
completamos este casillero de número la
fecha en que le vamos a dar ingreso al
stock y vamos a buscar la cuenta
corriente del proveedor
cuando completamos la cuenta corriente
el sistema va a buscar de qué depósito
está viniendo esa mercadería si este
proveedor tuviese cargado más de uno
yo puedo seleccionar cuál es el depósito
correcto esto es más que nada importante
por el tema de la trazabilidad si yo voy
a llevar un control de trazabilidad voy
a tener que tener en cada depósito de
origen un gel en un gel en un formato de
remito grabado previamente en los casos
en lleno de trazabilidad es solamente un
campo informativo para saber si yo el
día de mañana quiero tener un informe de
que depósito ingreso tal artículo por
ejemplo si yo lo puse viene acá lo voy a
tener
el segundo casillero que tenemos que
completar que es obligatorio es el
depósito de entrada a cuáles de mis
depósitos yo le voy a dar ingreso a este
remito vamos a seleccionar uno para todo
lo demás
digamos todo lo demás no es obligatorio
puedo poner un comentario
puedo poner una leyenda en este caso
como yo estoy registrando es un remito
de ingresos no tiene mucho sentido y
todos estos campos están acá porque es
el mismo formulario que se usa para
emitir un remito vamos a pasar a la
solapa siguiente donde está toda la
lista de pedidos de este proveedor
yo voy a seleccionar el último el que
cargamos recién
veo la información abajo y voy a la sola
paciente a la solapa de detalle me voy a
parar en cada uno de los renglones y voy
a indicar de la cantidad que yo pedí que
fueron en este caso si en unidades
cuanto me enviaron si me enviaron 100 el
total yo voy a poner esta doble flecha y
la columna de remitirse completa con la
misma cantidad que está en la columna
pedidos en el segundo caso vamos a
suponer que de los 80 que yo había
pedido me remitieron 50 entonces en el
campo de cantidad que está acá abajo voy
a completar la cantidad y lo voy a subir
con este botón del lápiz hito
a la columna remitir
esta doble flecha entonces la usamos
cuando la cantidad es igual a la
cantidad pedida cuando me mandaron el
total si es menos lo voy a completar acá
abajo y lo subo con el botón del lápiz
si hubiera trazabilidad de senasa en
alguno de estos artículos como el
sistema ya lo sabe porque previamente yo
lo cargué no me va a permitir ingresar
la cantidad así como lo hice recién me
va a obligar a venir a este botoncito y
este botoncito se va a conectar con
senasa y me va a indicar de cada lote
qué cantidad me están mandando y la
cantidad la va a completar sola tomando
la información de senasa
en la solapa fletes si yo tuviera que
pagar este flete a la empresa y después
más adelante me va a llegar una factura
puedo dejar si quiero registrado cuál es
la empresa de transporte el chofer del
camión que me hizo ese flete para que
después cuando yo reciba la factura del
proveedor o del transportista lo tenga
como pendiente de facturar pero esto lo
vamos a ver más adelante cuando veamos
el módulo de fletes
no es obligatorio completar las olas
para fletes lo que sí tenemos que
completar es todo lo que vimos hasta acá
una vez que completamos esos datos vamos
a tocar el botón agregar
y grabamos el remito de compra
y fundamentalmente ingresamos la
mercadería al stock
vamos a cerrar acá y vamos a ir a
compras consulta de pedidos
vamos a buscar este proveedor
y si nos posicionamos en el pedido que
hicimos hace un ratito vamos a ver que
ahora la columna ha remitido está
completa y si yo quiero ver cuál es ese
remito voy a ir a la solapa remitos y
voy a ver el remito que está asociado
con el pedido que marque primero y voy a
tener la información"
